Continent,Gas Production (Bcm),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa,Egypt,"0,1","0,1","0,1","0,1","0,1",^,"0,4","0,4","0,7","1,1","2,1","2,3","2,6","3,0","3,9","4,7","5,5","6,0","6,7","7,4","7,8","8,7","9,5","10,9","11,6","12,0","12,8","13,1","13,5","16,2","20,2","24,3","26,3","29,0","31,8","40,9","52,6","53,6","56,8","60,3","59,0","59,1","58,6","54,0","47,0","42,6","40,3","48,8","58,6","64,9","58,5","67,8","64,5","57,1"
Africa,Libya,"0,3","0,7","2,7","4,3","3,9","4,4","4,5","4,8","4,9","6,4","4,9","3,0","3,2","3,5","4,4","4,9","5,3","4,8","5,2","6,5","5,9","6,2","6,4","6,0","6,1","6,0","6,1","6,2","6,0","4,9","5,6","5,9","5,6","5,2","7,7","10,7","12,5","14,5","15,1","15,1","16,0","7,5","11,6","12,2","11,8","12,9","12,7","14,2","14,0","16,0","12,7","15,3","14,6","14,8"
Africa,Nigeria,"0,1","0,2","0,3","0,4","0,4","0,3","0,6","0,8","1,0","1,3","1,6","2,3","2,4","2,8","2,6","2,5","2,9","2,9","3,5","4,0","3,8","3,7","4,1","4,6","4,2","4,6","5,2","5,0","6,0","4,3","11,2","15,3","17,1","21,4","22,9","23,0","26,9","33,6","32,8","23,2","30,9","36,4","39,2","33,1","40,0","47,6","42,6","47,2","48,3","49,3","49,4","52,4","47,1","44,4"
Africa,Other Africa,"0,1","0,2","0,2","0,8","1,0","0,6","0,5","0,5","0,6","0,6","0,8","0,9","1,0","1,0","1,0","1,0","1,1","1,1","1,3","1,2","3,0","2,9","2,9","3,1","3,0","3,1","4,0","5,0","5,2","6,1","6,2","7,0","7,0","6,2","9,2","10,5","10,8","12,3","15,6","16,1","18,2","17,9","18,9","20,4","20,6","21,7","22,8","27,0","28,0","28,4","29,9","30,1","32,6","35,8"
Africa,Australia,"1,7","2,6","3,7","4,7","5,4","5,8","6,8","7,8","8,4","9,6","11,1","12,0","11,7","12,7","12,5","13,4","14,6","14,9","15,3","17,7","20,6","21,6","23,3","24,4","28,0","29,6","29,6","29,6","30,3","30,7","31,2","32,6","33,0","33,7","35,9","38,2","40,7","42,8","41,7","46,7","52,6","54,5","58,3","60,6","65,3","74,3","94,1","110,3","127,4","146,1","145,7","147,9","154,2","150,7"
Asia Pacific,Bangladesh,-,"0,4","0,4","0,6","0,7","0,5","0,7","0,8","0,9","1,0","1,2","1,4","1,8","2,0","2,3","2,6","2,9","3,4","4,0","4,2","4,6","4,7","5,1","5,8","6,1","6,7","7,2","7,1","7,7","8,4","9,1","10,1","10,7","11,5","12,3","13,3","14,4","15,3","16,4","18,7","19,3","19,6","21,3","22,0","23,0","25,9","26,5","26,6","26,6","25,3","23,7","23,6","22,5","21,1"
Asia Pacific,Brunei,"0,2","0,2","0,4","1,9","4,1","5,4","7,1","8,2","8,0","8,4","8,4","8,2","8,1","8,5","8,6","8,4","8,4","8,4","8,7","8,5","8,7","8,8","9,5","10,1","10,1","11,5","11,4","11,4","10,5","10,9","11,0","11,1","11,2","12,0","11,9","11,7","12,3","11,9","11,8","11,1","12,0","12,5","12,3","11,9","12,7","13,3","12,9","12,9","12,6","13,0","12,6","11,5","10,6","10,0"
Asia Pacific,China,"2,9","3,8","4,9","6,0","7,6","8,9","10,2","12,2","13,8","14,6","14,4","12,8","12,0","12,3","12,5","13,0","13,9","14,0","14,4","15,2","15,4","15,6","15,9","16,9","17,7","18,1","20,3","22,9","23,5","25,4","27,4","30,6","32,9","35,3","41,8","49,7","59,0","69,8","80,9","85,9","96,5","106,2","111,5","121,8","131,2","135,7","137,9","149,2","161,4","176,7","194,0","209,2","221,8","234,3"
Asia Pacific,India,"0,6","0,7","0,7","0,7","0,8","1,1","1,3","1,4","1,5","1,9","1,1","2,0","2,6","3,1","3,5","4,3","6,0","7,0","8,2","9,7","11,6","12,9","14,4","14,7","15,9","18,1","19,7","21,5","23,5","24,1","25,4","25,4","26,6","28,4","28,1","28,5","28,2","29,0","29,4","36,1","47,4","42,9","37,3","31,1","29,4","28,1","26,6","27,7","27,5","26,9","23,8","28,5","29,8","31,6"
Asia Pacific,Indonesia,"1,3","1,5","1,1","1,7","1,8","2,4","2,4","5,7","11,0","16,0","18,8","19,1","19,4","22,1","29,8","32,8","34,1","36,4","39,8","41,9","44,5","48,9","51,8","53,8","61,4","61,6","64,9","66,7","65,6","71,1","70,7","68,6","75,6","79,2","75,7","76,3","75,4","72,6","74,8","81,9","83,2","89,4","94,2","82,7","87,2","86,6","85,3","83,2","83,0","75,6","66,4","66,5","65,5","68,1"
Asia Pacific,Malaysia,-,"0,1","0,1","0,1","0,2","0,3","0,3","0,3","2,4","2,9","2,6","2,2","2,8","6,7","10,1","11,2","15,1","16,3","16,8","18,2","18,0","21,4","22,4","24,1","25,6","28,3","36,1","41,3","41,2","42,2","49,7","49,0","50,6","52,7","60,1","67,7","67,5","67,6","69,2","66,2","65,1","67,0","69,3","72,6","72,2","76,8","76,7","79,6","76,1","77,5","73,1","79,0","83,0","78,0"
Asia Pacific,Myanmar,^,^,^,^,"0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,4","0,4","0,6","0,6","0,9","1,1","1,2","1,0","1,1","0,8","0,8","0,9","1,1","1,4","1,6","1,6","1,5","1,7","1,7","3,3","6,9","8,3","9,4","10,0","12,0","12,4","13,3","12,2","11,4","12,2","12,6","12,5","12,9","16,5","19,2","18,3","17,8","17,0","18,5","17,5","17,2","16,8","15,2"
Asia Pacific,Pakistan,"2,9","2,6","2,8","3,2","3,7","3,8","3,9","4,2","4,4","4,9","6,0","6,5","7,1","7,0","7,2","7,4","7,9","8,5","9,0","9,6","10,2","11,0","10,8","12,5","12,7","13,0","14,2","14,1","14,9","17,0","18,0","19,0","20,5","25,6","30,7","32,6","33,3","33,8","34,6","34,7","35,3","35,3","36,6","35,6","35,0","35,0","34,7","34,7","34,2","32,7","30,6","32,7","28,6","27,7"
Asia Pacific,Thailand,-,-,-,-,-,-,-,-,-,-,-,"0,3","1,4","1,6","2,4","3,2","3,7","5,2","6,2","6,2","6,7","8,4","8,9","10,0","11,1","11,8","13,6","16,7","18,2","19,9","20,9","20,3","21,2","22,2","23,1","24,5","25,2","26,9","29,8","29,4","33,7","33,8","38,4","38,9","39,1","37,5","37,3","35,9","34,7","35,8","32,7","31,5","25,3","25,7"
Asia Pacific,Vietnam,-,-,-,-,-,-,-,-,-,-,-,^,^,"0,1","0,1",^,^,^,^,^,^,"0,1","0,2","0,2","0,2","0,1","0,3","0,5","0,9","1,3","1,5","1,9","2,3","2,3","4,0","6,2","6,8","6,8","7,2","7,7","9,1","8,2","9,0","9,4","9,9","10,3","10,2","9,5","9,7","9,8","8,8","7,2","7,8","7,2"
Asia Pacific,Other Asia Pacific,"5,4","6,1","6,6","6,9","7,2","7,1","7,9","8,9","8,5","7,6","7,8","7,5","7,8","8,2","9,0","9,8","10,3","10,3","10,8","8,2","8,0","8,1","8,4","8,3","8,1","7,9","8,5","8,9","8,2","8,9","9,3","9,9","11,2","10,9","10,6","11,3","14,5","17,2","18,2","18,5","17,9","17,7","17,7","18,2","23,1","27,9","29,0","29,2","26,9","28,7","29,0","27,2","23,9","21,5"
World,Total World,"976,1","1044,1","1095,5","1148,3","1172,5","1175,0","1225,7","1277,4","1320,7","1409,7","1428,3","1453,1","1459,7","1472,8","1598,9","1641,0","1683,5","1767,9","1845,8","1909,7","1969,7","1996,0","2001,8","2024,6","2054,3","2088,3","2190,0","2188,3","2202,4","2310,3","2401,2","2458,4","2515,6","2605,7","2694,4","2758,2","2852,0","2927,6","3032,7","2940,8","3144,7","3264,1","3341,7","3370,3","3445,1","3515,2","3553,6","3684,3","3856,0","3972,5","3867,0","4046,6","4050,4","4064,2"
World,OECD,"724,6","768,4","801,5","825,5","818,0","784,0","792,4","805,5","810,0","842,5","833,0","823,0","779,6","736,7","784,2","771,8","747,0","776,6","791,7","813,2","833,5","853,4","872,5","904,6","945,1","958,9","1004,3","1010,8","981,5","1033,0","1055,7","1078,3","1067,1","1072,1","1074,0","1063,3","1075,0","1078,3","1107,9","1100,9","1129,2","1151,0","1186,9","1196,3","1241,4","1279,9","1290,8","1331,3","1434,9","1517,7","1496,5","1519,0","1599,1","1627,9"
World,Non-OECD,"251,5","275,7","294,0","322,8","354,5","391,0","433,3","471,9","510,6","567,2","595,3","630,1","680,1","736,1","814,7","869,2","936,5","991,3","1054,1","1096,5","1136,2","1142,5","1129,4","1120,0","1109,1","1129,5","1185,7","1177,5","1220,8","1277,3","1345,5","1380,1","1448,5","1533,5","1620,4","1694,9","1777,0","1849,3","1924,8","1839,9","2015,5","2113,0","2154,8","2174,0","2203,8","2235,3","2262,8","2353,0","2421,0","2454,9","2370,4","2527,5","2451,2","2436,3"
